pressure,temperature,altitude,ax,ay,az,pitch,roll,yaw
92726.687500,19.280001,741.802551,-0.001470,-0.005098,0.999614,0.229288,-0.043142,177.68321202
92726.687500,19.280001,741.802551,0.002925,-0.006074,1.002544,-0.230215,-0.385170,177.67141702
92726.687500,19.280001,741.802551,0.002925,-0.006074,1.002544,0.255596,-0.082677,177.65976002
92726.687500,19.280001,741.802551,0.003901,0.002715,0.997661,-0.262189,0.169968,177.65715002
92726.687500,19.280001,741.802551,0.004878,0.002227,0.998149,-0.477738,-0.363417,177.66101102
92726.687500,19.280001,741.802551,0.004878,0.002227,0.998149,-0.256364,0.162510,177.65797402
92726.687500,19.280001,741.802551,-0.003423,0.007109,0.999614,0.251818,0.423579,177.66751102
92726.687500,19.280001,741.802551,-0.001958,-0.002168,1.001079,0.108401,-0.140211,177.66923502
92730.671875,19.290001,741.445862,-0.000981,-0.000703,0.997173,-0.158104,0.365367,177.66946402
92730.671875,19.290001,741.445862,-0.001958,-0.000215,1.002544,0.164228,-0.112405,177.67280602
92730.671875,19.290001,741.445862,0.001460,0.000762,0.998149,-0.328511,0.184165,177.68505902
92730.671875,19.290001,741.445862,0.004878,-0.002656,0.998149,-0.248511,-0.373298,177.69444302
92728.304688,19.280001,741.657227,0.004878,-0.002656,0.998149,-0.331115,0.203569,177.69812002
92728.304688,19.280001,741.657227,0.002437,-0.001680,0.996685,-0.028232,-0.288397,177.69696002
92728.304688,19.280001,741.657227,-0.005376,-0.001680,1.000591,0.476561,-0.009478,177.70759602
92728.304688,19.280001,741.657227,-0.001958,-0.006563,0.996685,0.071768,-0.422284,177.70610002
92731.648438,19.290001,741.358643,-0.003423,-0.001191,1.002544,0.262129,0.128169,177.68368502
92731.648438,19.290001,741.358643,-0.003423,-0.001191,1.002544,0.079473,-0.404870,177.65808102
92731.648438,19.290001,741.358643,-0.000981,0.002227,1.001079,0.049645,0.165015,177.66833502
92731.648438,19.290001,741.358643,0.001948,-0.002168,0.999614,-0.231137,-0.340987,177.67262302
92720.765625,19.280001,742.330994,0.000972,0.001250,0.995220,0.006149,0.180889,177.66581702
92720.765625,19.280001,742.330994,-0.001470,-0.000703,1.002056,0.213098,-0.365095,177.66830402
92720.765625,19.280001,742.330994,0.004878,0.004180,0.997661,-0.147582,0.079541,177.66897602
92728.304688,19.280001,741.657227,-0.002446,0.001250,1.001567,0.420364,0.060992,177.66323902
92728.304688,19.280001,741.657227,-0.000005,-0.004609,0.998149,-0.046492,-0.283440,177.64111302
92728.304688,19.280001,741.657227,0.000972,-0.002656,0.997661,-0.098042,0.288619,177.61950702
92728.304688,19.280001,741.657227,0.008784,0.004180,1.003032,-0.674485,0.225043,177.61424302
92728.304688,19.280001,741.657227,0.008784,0.004180,1.003032,-0.111155,0.277036,177.60824602
92729.976562,19.280001,741.506592,0.006343,0.000273,1.002544,-0.510001,-0.135510,177.61700402
92729.976562,19.280001,741.506592,-0.000981,-0.000703,0.997661,0.062466,-0.049278,177.62616002
92729.976562,19.280001,741.506592,-0.003423,-0.005098,0.995220,0.343431,-0.556614,177.63395702
92727.375000,19.290001,741.739136,-0.000981,-0.000703,1.004009,0.063055,-0.055469,177.63006602
92727.375000,19.290001,741.739136,-0.000981,-0.000703,1.004009,-0.177781,0.465727,177.62387102
92727.375000,19.290001,741.739136,-0.000005,-0.002168,1.001079,-0.026170,-0.076171,177.63432302
92722.046875,19.280001,742.217407,0.003413,-0.003633,1.002544,-0.473957,-0.430601,177.63324002
92722.046875,19.280001,742.217407,0.001460,0.000762,1.000591,-0.117645,0.000036,177.63751202
92722.046875,19.280001,742.217407,0.006343,0.001738,1.000103,-0.650423,0.218679,177.64563002
92722.046875,19.280001,742.217407,0.001948,0.000762,1.000103,-0.101137,0.036109,177.64111302
92728.359375,19.290001,741.651917,-0.000005,-0.003145,1.001567,0.137609,-0.478950,177.64747602
92728.359375,19.290001,741.651917,0.000483,0.002227,1.000591,-0.020929,0.080454,177.63937402
92728.359375,19.290001,741.651917,-0.002446,0.004668,0.999614,0.345138,0.521204,177.63798502
92728.359375,19.290001,741.651917,0.002925,-0.004609,0.997173,0.021038,0.045009,177.63371302
92728.359375,19.290001,741.651917,0.002925,-0.004609,0.997173,-0.288324,-0.440491,177.63221702
92725.671875,19.280001,741.892395,0.002437,0.000762,1.002056,-0.130671,0.104605,177.62156702
