pressure,temperature,altitude,ax,ay,az,pitch,roll,yaw
92726.69,19.28,741.8026,-0.001958,-0.002168,1.001079,0.108401,-0.140211,177.6692
92730.67,19.29,741.4459,0.004878,-0.002656,0.998149,-0.248511,-0.373298,177.6944
92728.3,19.28,741.6572,-0.001958,-0.006563,0.996685,0.071768,-0.422284,177.7061
92731.65,19.29,741.3586,0.001948,-0.002168,0.999614,-0.231137,-0.340987,177.6726
92728.3,19.28,741.6572,-0.002446,0.00125,1.001567,0.420364,0.060992,177.6632
92728.3,19.28,741.6572,0.008784,0.00418,1.003032,-0.111155,0.277036,177.6082
92727.38,19.29,741.7391,-0.000981,-0.000703,1.004009,0.063055,-0.055469,177.6301
92722.05,19.28,742.2174,0.00146,0.000762,1.000591,-0.117645,0.000036,177.6375
92728.36,19.29,741.6519,0.000483,0.002227,1.000591,-0.020929,0.080454,177.6394
92725.67,19.28,741.8924,0.002437,0.000762,1.002056,-0.130671,0.104605,177.6216
92726.72,19.29,741.7972,0.001948,-0.004121,1.003032,-0.207869,-0.163824,177.6162
92729.71,19.29,741.5304,0.005366,-0.000215,1.000591,-0.111748,0.11891,177.5991
92729.68,19.29,741.533,-0.002935,-0.005586,1.001567,-0.180233,0.061836,177.6167
92727.34,19.28,741.7418,0.00439,-0.000215,1.001079,-0.12115,0.016171,177.5755
92731.02,19.29,741.4141,0.003901,-0.005586,1.002056,-0.277976,-0.320264,177.5429
92728.7,19.29,741.6229,0.073237,-0.074922,0.680767,-0.176904,-0.468576,177.5136
92709.23,19.28,743.3615,0.282222,0.008574,11.81504,0.560752,-1.112899,171.3543
92653.39,19.29,748.3607,-0.42481,-0.015352,10.98155,1.63942,-0.207114,180.1274
92513.63,19.28,760.8771,-0.413091,0.181914,9.806744,3.150716,-2.304257,182.1858
92249.91,19.28,784.5413,-0.443364,0.309844,7.582622,2.715862,1.624278,174.857
92057.2,19.27,801.8667,-0.242192,0.29959,2.649028,2.555332,0.019538,171.333
91721.56,19.27,832.1102,-0.270513,0.343047,-0.828999,0.068324,3.397743,172.4126
91557.84,19.27,846.8964,0.119136,0.095488,-0.989644,-1.134651,4.752256,185.1738
91339.97,19.27,866.6077,0.020991,-0.010957,-0.776753,-1.44829,4.686353,201.6876
91104.27,19.26,887.9731,0.064937,0.211211,-0.761616,-4.039283,5.17721,215.4467
90890.36,19.26,907.4018,0.020503,-0.098848,-0.687397,-6.960117,3.889628,229.4241
90695.45,19.25,925.1367,0.013179,0.377715,-0.561421,-7.973703,3.236701,243.138
90328.02,19.23,958.6566,0.030269,-0.019258,-0.518452,-9.13257,3.431702,257.1036
90328.02,19.23,958.6566,-0.005376,0.220488,-0.478901,-11.74543,0.610599,269.6049
90143.03,19.23,975.5724,-0.114263,0.134062,-0.431538,-11.23687,-0.490644,282.773
89979.71,19.21,990.533,0.017573,0.114531,-0.373921,-13.36816,-1.972443,296.3037
89681.03,19.19,1017.947,0.072261,0.042266,-0.353413,-13.69338,-4.663275,309.1378
89681.03,19.19,1017.947,0.028315,0.206328,-0.304097,-13.61886,-5.048384,321.026
89416.23,19.16,1042.311,-0.024419,0.225371,-0.232808,-14.6108,-7.284535,332.178
89284.81,19.15,1054.426,0.039058,0.212187,-0.226948,-14.07562,-7.916788,342.894
89173.44,19.12,1064.704,0.003901,-0.005098,-0.206929,-14.50744,-8.661285,351.5146
88438.56,19.07,1132.782,-0.002446,0.04959,-0.041401,-24.55748,-0.773955,34.46935
88386.7,19.07,1137.605,-0.014165,0.053008,-0.035054,-27.1618,-0.296416,37.40564
88346.02,19.07,1141.388,0.005854,0.068633,-0.022358,-28.43545,-0.767173,40.69809
88274.44,19.06,1148.05,0.011226,0.069121,-0.012105,-29.68618,-1.191718,43.26187
88274.44,19.06,1148.05,0.017085,0.068633,-0.009175,-31.82161,-1.256801,44.58492
88251.78,19.06,1150.158,0.024409,0.06668,-0.008198,-35.32186,-0.500686,44.33517
88237.68,19.06,1151.471,0.033198,0.068633,-0.004292,-40.3824,0.524685,43.61496
88218.94,19.05,1153.218,0.065425,0.038848,-0.003804,-47.12584,-0.379601,44.93329
88218.94,19.05,1153.218,0.071772,0.040312,-0.00478,-54.78717,-5.310837,50.38098
89451.41,19.17,1039.072,-0.064087,-0.2302,1.072583,-3.699033,-2.088198,178.2263
89483.23,19.16,1036.141,0.4823,-0.717017,1.229321,-21.56763,-11.29269,168.8992
89499.66,19.17,1034.63,0.445679,-0.916724,1.14729,-29.26747,-5.313498,165.1593
89577.46,19.16,1027.469,0.619507,-0.332739,1.248364,-36.03749,13.0004,161.9182
89616.52,19.16,1023.876,0.506226,0.106714,1.222485,-36.43228,27.88493,155.5354
89652.33,19.15,1020.584,0.517456,-0.413306,1.23811,-33.68702,22.21754,168.2418
89687.09,19.15,1017.389,0.423706,-0.291235,0.963696,-29.55207,24.14354,168.6073
89728.17,19.15,1013.613,0.254272,-0.444067,1.139477,-33.7472,23.0241,165.0243
89773.45,19.15,1009.454,0.360229,-0.822485,1.330395,-37.29283,28.24722,152.9975
89796.78,19.14,1007.314,0.554077,-0.751196,1.387036,-39.31534,45.3678,139.4786
89847.97,19.14,1002.613,0.714722,-0.32395,1.080884,-34.82138,64.0833,129.2673
89929.11,19.14,995.1702,0.569702,-0.165259,0.952466,-35.35499,70.27293,132.0078
89967.52,19.14,991.6507,0.357788,-0.188696,1.041821,-26.18895,74.10953,133.7076
89967.52,19.14,991.6507,-0.111938,-0.235083,1.875806,-11.56432,75.95654,125.5792
90059.13,19.13,983.2562,0.562866,-0.768774,1.257153,6.617268,77.03394,112.0329
90264.98,19.12,964.4167,0.552124,-0.640356,0.923657,79.04491,-74.79197,277.9229
90303.78,19.12,960.8708,0.410522,-0.495337,1.356274,57.06822,-71.01392,270.042
