pressure,temperature,altitude,ax,ay,az,pitch,roll,yaw
92817.5,20.2,733.6802,0.008184,0.022495,0.994756,-0.380733,0.712881,180.8558
92814.3,20.21,733.9682,-0.000605,0.024448,0.95374,-0.612525,0.813901,184.1387
92821.39,20.23,733.3314,-0.012812,0.034702,0.984502,0.482244,1.597083,186.097
92814.6,20.24,733.9391,-0.008418,0.073276,0.984502,1.061622,0.65873,181.3887
92819.91,20.25,733.4662,0.092656,0.030796,1.029912,-0.183733,-0.26697,176.3051
92829.7,20.27,732.5916,-0.138301,-0.113247,0.921514,-0.302263,-0.827756,172.7628
92835.45,20.29,732.0764,-0.09875,-0.126919,0.997197,-0.08937,-1.447285,170.023
92842.25,20.32,731.4686,0.266484,-0.109341,0.574346,-0.447365,-7.770628,172.3771
92840.16,20.34,731.6562,-0.121211,-0.184048,1.009404,8.010768,-6.913452,174.3607
92837.55,20.34,731.8887,-0.371211,0.013218,1.219854,13.19436,-4.982837,180.2011
92833.12,20.36,732.2851,-0.162715,-0.001919,0.963018,3.660961,-5.030142,182.4242
92831.59,20.38,732.4225,-0.09875,-0.022915,1.135381,8.293944,-4.107121,184.5328
92832.38,20.39,732.3511,-0.117793,-0.077114,0.849248,9.510476,-6.579267,184.263
92829.83,20.4,732.5784,-0.18127,0.155796,0.94251,4.031662,-2.739714,180.0666
92834.23,20.41,732.1847,0.039434,0.105503,0.945439,-1.990013,2.7768,177.0611
92838.04,20.44,731.8438,-0.090938,-0.100063,1.001592,-1.807095,1.540797,177.0397
92834.39,20.43,732.1714,-0.02209,0.035679,0.967412,1.219886,1.003751,180.8889
92834.39,20.43,732.1714,-0.130977,-0.074185,1.020146,2.337801,0.495061,184.3807
92832.77,20.44,732.3168,0.004277,0.018101,0.98792,2.707763,1.080966,186.9524
92828.04,20.46,732.7396,-0.077266,-0.037075,0.962529,3.894827,-0.241568,188.5763
92825.34,20.49,732.98,-0.043086,-0.040981,0.968389,3.850364,-0.188339,189.1386
92825.34,20.49,732.98,-0.055293,0.022007,1.007451,1.732731,0.273831,191.4319
92827.11,20.5,732.8215,0.019902,0.075229,0.991826,2.217542,1.667617,194.2631
92823.58,20.51,733.1385,-0.017695,0.060093,0.99915,0.850433,1.085454,196.35
92818.73,20.52,733.5718,0.011113,0.045444,1.015752,-0.586732,2.309367,198.8978
92818.73,20.52,733.5718,-0.050898,-0.014126,0.972783,2.154958,2.25478,201.798
92819.2,20.47,733.5296,-0.013301,0.037144,1.004521,2.644263,1.777668,203.7446
92819.56,20.43,733.4979,-0.125605,-0.025356,0.994756,3.46431,1.517039,204.6537
92816.36,20.4,733.7833,-0.059199,0.046909,1.004033,3.490841,1.869135,206.0218
92815.16,20.38,733.8916,-0.185664,-0.020962,0.962529,3.166704,1.331405,208.2041
92816.63,20.36,733.7595,-0.097285,-0.01022,0.983037,3.447632,0.742196,209.776
92816.05,20.33,733.8097,-0.041133,-0.001431,1.001104,2.132965,-0.04922,210.9226
92817.63,20.32,733.6696,-0.022578,0.002964,1.014287,0.857586,0.124617,211.8902
92817.16,20.31,733.7119,-0.094355,-0.017056,1.011357,3.275542,-0.179036,212.2235
92815.92,20.28,733.8229,-0.018184,-0.012661,1.006963,3.214858,-0.309257,214.3105
92820.3,20.29,733.4318,-0.041133,-0.018032,1.004033,2.702,-0.655156,216.1747
92820.3,20.29,733.4318,0.008672,-0.000942,0.949346,0.785683,4.660854,217.6361
92814.84,20.27,733.918,-0.006465,0.277378,1.023076,1.038536,8.220605,219.6779
92810.5,20.23,734.3064,-0.03918,0.008335,1.009893,2.089183,0.577396,220.2572
92812.8,20.19,734.1003,-0.055293,0.066929,0.975713,3.310045,4.948011,222.8488
92812.58,20.16,734.1215,-0.071895,0.265659,0.962529,2.606856,7.329898,228.5297
92814.28,20.13,733.9682,-0.027949,0.179233,0.976689,0.173798,8.744107,232.7896
92810.03,20.1,734.3487,0.094121,0.149937,1.021123,-3.591369,7.006489,236.4697
92811.61,20.05,734.206,0.095586,0.107456,0.986455,-5.963494,5.460988,238.205
92812.08,20.03,734.1664,0.147832,0.132847,1.00501,-7.717566,6.36683,238.8733
92809.58,19.94,734.3883,0.134648,0.114292,0.995732,-7.91615,6.309221,239.3986
92809.58,19.94,734.3883,0.124883,0.132358,0.980596,-6.939482,5.900947,240.9381
92814.93,19.91,733.9101,0.130742,0.129429,1.003545,-7.300256,7.099461,241.7614
92819.68,19.89,733.4847,0.10877,0.079624,0.983525,-6.678013,5.432234,243.1176
92819.38,19.86,733.5137,0.13416,0.137241,0.99085,-7.002151,6.417485,244.0968
92813.95,19.84,733.9973,0.116582,0.119663,0.976689,-6.924003,6.141717,245.294
92813.95,19.84,733.9973,0.120977,0.118687,0.996221,-7.042407,6.219084,246.659
92816.46,19.83,733.7726,0.096074,0.065952,1.007939,-4.135293,3.807057,248.9951
92812.21,19.83,734.1531,0.041875,-0.074185,1.003545,-3.323267,0.04927,248.5346
